observedAt,linkId,platform,handle,canonicalUrl,audienceKind,audienceCount,audienceCountRaw,source
2026-03-27T01:46:20.434Z,rumble,rumble,c-7752998,https://rumble.com/c/c-7752998,followers,23,23 Followers,manual
2026-03-27T01:48:05.146Z,rumble,rumble,c-7752998,https://rumble.com/c/c-7752998,followers,23,23 Followers,manual
2026-03-27T08:36:25.829Z,rumble,rumble,c-7752998,https://rumble.com/c/c-7752998,followers,23,23 Followers,manual
2026-03-27T10:47:07.836Z,rumble,rumble,c-7752998,https://rumble.com/c/c-7752998,followers,23,23 Followers,manual
2026-03-28T10:43:56.548Z,rumble,rumble,c-7752998,https://rumble.com/c/c-7752998,followers,23,23 Followers,manual
2026-03-29T10:45:22.349Z,rumble,rumble,c-7752998,https://rumble.com/c/c-7752998,followers,23,23 Followers,manual
2026-03-30T10:51:24.838Z,rumble,rumble,c-7752998,https://rumble.com/c/c-7752998,followers,23,23 Followers,manual
