observedAt,linkId,platform,handle,canonicalUrl,audienceKind,audienceCount,audienceCountRaw,source
2026-03-27T10:47:07.836Z,youtube,youtube,thebitcoinnova,https://www.youtube.com/@TheBitcoinNova,subscribers,6880,6.88K subscribers,public-cache
2026-03-28T10:43:56.548Z,youtube,youtube,thebitcoinnova,https://www.youtube.com/@TheBitcoinNova,subscribers,6880,6.88K subscribers,public-cache
2026-03-29T10:45:22.349Z,youtube,youtube,thebitcoinnova,https://www.youtube.com/@TheBitcoinNova,subscribers,6880,6.88K subscribers,public-cache
